"","NUMBER OF GUARDS","OPPONENT POSSESSIONS","CMU POSSESSIONS","LINEUP SECONDS","OPPONENT PTS","CMU PTS","CMU 3PA","CMU FGA","CMU FTA","CMU REBOUNDS","TOTAL REBOUNDS","OPPONENTS","SCORE DIFFERENTIAL WHEN ENTER","QUARTER","NUMBERS","PACE","OFFENSIVE RATING","DEFENSIVE RATING","NET RATING","3PA/FGA","TRUE SHOOTING %","TRB%","LINEUP_SORTED"
"11",4,39,39,1315,28,44,7,35,6,24,40,"brandeis, carnegie mellon, carnegie mellon, carnegie mellon2, case western reserve, emory2, emory2, geneva, nyu, nyu, nyu2, rochester2","9, -10, -5, 2, 9, 2, -7, 11, -13, -19, -15, 25","2, 2, 4, 4, 2, 1, 3, 1, 1, 2, 2, 3","5 4 22 10 24",71.1787072243346,112.820512820513,71.7948717948718,41.025641025641,0.2,58.4484590860786,60,"ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE"
"12",4,235,234,7960,190,217,46,220,23,145,270,"allegheny, allegheny, brandeis, brandeis, brandeis, brandeis2, brandeis2, carnegie mellon, carnegie mellon, carnegie mellon2, case western reserve, case western reserve, case western reserve, case western reserve2, case western reserve2, case western reserve2, chicago, chicago, chicago, chicago, chicago, emory, emory, emory, emory, emory, emory2, emory2, nyu, nyu, nyu, nyu2, nyu2, nyu2, rochester, rochester, rochester, rochester, rochester2, rochester2, washington & jefferson, washu, washu, washu, washu","0, 25, 0, -1, 11, 0, 7, -8, -6, 4, 0, 5, 10, 0, -5, -20, 0, -2, -1, -8, -10, 0, -11, -9, -5, -7, 0, -6, 0, -13, -20, 0, -16, -21, 0, -4, -2, -4, 0, 24, 0, 0, -6, -4, -9","1, 3, 1, 2, 2, 1, 2, 2, 3, 3, 1, 2, 2, 1, 2, 3, 1, 2, 3, 4, 4, 1, 2, 2, 2, 4, 1, 3, 1, 1, 3, 1, 1, 3, 1, 2, 3, 4, 1, 3, 1, 1, 2, 3, 4","3 4 10 22 24",70.7035175879397,92.7350427350427,80.8510638297872,11.8839789052555,0.209090909090909,47.1493134017035,53.7037037037037,"ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH LIGOTTI,PIPER OR,CATHERINE"
"13",4,19,19,657,16,11,7,16,0,11,22,"brandeis2, chicago, chicago, emory, washington & jefferson, washington & jefferson","4, -1, -6, -3, -2, 1","2, 1, 2, 1, 1, 3","4 22 13 10 24",69.4063926940639,57.8947368421053,84.2105263157895,-26.3157894736842,0.4375,34.375,50,"ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH MATSKO,MEGAN OR,CATHERINE"
"14",4,11,12,379,9,5,3,8,2,8,15,"carnegie mellon2, nyu, wooster","4, -26, 8","1, 3, 1","3 5 20 10 24",72.8232189973615,41.6666666666667,81.8181818181818,-40.1515151515152,0.375,28.1531531531531,53.3333333333333,"ARIAS,AVA CHINTALA,ANISHA HEYER,ALLIE LIGOTTI,PIPER PROUTY,ANNA"
"15",4,15,12,463,7,16,4,15,1,11,20,"chicago2, pitt.-greensburg, wooster","-8, 7, 35","3, 1, 3","5 24 20 10 23",69.9784017278618,133.333333333333,46.6666666666667,86.6666666666667,0.266666666666667,51.8134715025907,55,"ARIAS,AVA CHINTALA,ANISHA HEYER,ALLIE NAMBISAN,ISHA PROUTY,ANNA"
"16",4,12,12,441,7,15,4,12,2,8,11,"carnegie mellon, case western reserve, case western reserve, case western reserve, case western reserve2, nyu","-12, 2, 8, 10, -20, -20","2, 1, 2, 3, 3, 3","20 10 22 3 24",65.3061224489796,125,58.3333333333333,66.6666666666667,0.333333333333333,58.2298136645963,72.7272727272727,"ARIAS,AVA CHINTALA,ANISHA LIGOTTI,PIPER OR,CATHERINE PROUTY,ANNA"
"17",4,31,31,1013,24,24,11,29,9,18,40,"capital, case western reserve2, denison, geneva, pitt.-greensburg2, rochester2, washu2, washu2, washu2","1, 4, 1, 28, 27, 24, 13, 7, 11","3, 1, 1, 2, 3, 2, 2, 3, 4","24 3 21 4 5",73.4452122408687,77.4193548387097,77.4193548387097,0,0.379310344827586,36.4077669902913,45,"ARIAS,AVA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LIGOTTI,PIPER"
"18",4,33,31,1092,25,34,10,24,4,17,33,"carnegie mellon, case western reserve, case western reserve2, denison, emory2, emory2, rochester, rochester2, rochester2, washu","-3, 6, -7, 4, -4, -1, -7, 5, 22, -9","4, 2, 2, 1, 1, 2, 4, 2, 2, 4","5 4 21 22 24",70.3296703296703,109.677419354839,75.7575757575758,33.919843597263,0.416666666666667,65.9937888198758,51.5151515151515,"ARIAS,AVA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE"
"19",4,40,48,1416,29,48,14,43,13,32,53,"brandeis, case western reserve, case western reserve2, chicago, emory, emory, emory, emory2, geneva, nyu2, nyu2, rochester, rochester, rochester2, rochester2, washington & jefferson, washu, washu","9, 7, 4, -6, -8, -9, -7, -2, 26, -16, -24, -4, 0, 14, 28, 0, 0, -8","2, 2, 1, 3, 2, 3, 4, 2, 2, 2, 3, 2, 3, 2, 3, 2, 1, 4","5 4 22 3 24",74.5762711864407,100,72.5,27.5,0.325581395348837,49.2610837438424,60.377358490566,"ARIAS,AVA GIBBS,SAVANNAH HEYER,ALLIE LIGOTTI,PIPER OR,CATHERINE"
"20",3,23,25,800,17,25,6,21,2,13,26,"allegheny, allegheny, washington & jefferson","5, 24, 0","1, 3, 1","1 4 10 22 13",72,100,73.9130434782609,26.0869565217391,0.285714285714286,57.1297989031079,50,"BLACK,AVA CHINTALA,ANISHA GIBBS,SAVANNAH MATSKO,MEGAN OR,CATHERINE"
"21",4,18,17,669,14,18,5,18,5,16,26,"brandeis, capital, capital, carnegie mellon, case western reserve, washington & jefferson, wooster, wooster, wooster","15, -7, 5, -8, 6, -6, 4, 6, 13","3, 4, 4, 2, 1, 3, 1, 2, 2","4 10 21 5 34",62.780269058296,105.882352941176,77.7777777777778,28.1045751633987,0.277777777777778,44.5544554455446,61.5384615384615,"CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV"
"22",4,21,21,694,22,20,8,22,2,10,21,"brandeis, case western reserve2, denison, grove city, nyu2, washu2","16, -18, -7, 4, -15, -1","4, 3, 4, 4, 2, 4","4 5 3 10 21",72.6224783861671,95.2380952380952,104.761904761905,-9.52380952380955,0.363636363636364,43.7062937062937,47.6190476190476,"CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LIGOTTI,PIPER"
"23",4,22,23,657,24,23,5,20,10,15,25,"case western reserve2, emory2, grove city, grove city, grove city, grove city","-11, 1, -3, 2, 7, 4","2, 1, 1, 1, 3, 4","4 10 21 5 13",82.1917808219178,100,109.090909090909,-9.09090909090908,0.25,47.1311475409836,60,"CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE MATSKO,MEGAN"
"24",4,18,17,518,19,11,3,14,2,5,16,"denison, emory2, nyu2, rochester","-8, -1, -21, -7","4, 2, 3, 4","22 10 5 21 4",81.0810810810811,64.7058823529412,105.555555555556,-40.8496732026144,0.214285714285714,36.9623655913978,31.25,"CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE"
"25",4,27,30,879,13,29,5,29,4,18,35,"brandeis2, grove city, rochester, wooster, wooster","3, -5, 1, 0, 21","1, 2, 1, 1, 3","3 4 10 21 34",77.8156996587031,96.6666666666667,48.1481481481481,48.5185185185185,0.172413793103448,47.1391417425228,51.4285714285714,"CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH LAFOND,LIV LIGOTTI,PIPER"
"26",4,13,13,485,12,10,7,13,0,11,18,"allegheny, capital, capital","20, 0, 2","3, 1, 3","13 34 21 4 10",64.3298969072165,76.9230769230769,92.3076923076923,-15.3846153846154,0.538461538461538,38.4615384615385,61.1111111111111,"CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH LAFOND,LIV MATSKO,MEGAN"
"27",4,27,28,786,24,26,6,19,5,11,21,"carnegie mellon, carnegie mellon, carnegie mellon, case western reserve, denison, denison","-3, -10, -7, 19, 0, -6","1, 2, 4, 4, 1, 3","4 10 21 22 34",83.969465648855,92.8571428571429,88.8888888888889,3.96825396825398,0.31578947368421,61.3207547169811,52.3809523809524,"CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH LAFOND,LIV OR,CATHERINE"
"28",4,14,12,453,9,10,4,12,3,11,18,"brandeis2, chicago, grove city, grove city, grove city","5, 3, -6, 8, 4","2, 2, 1, 3, 4","4 21 3 10 13",68.8741721854305,83.3333333333333,64.2857142857143,19.047619047619,0.333333333333333,37.5375375375375,61.1111111111111,"CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH LIGOTTI,PIPER MATSKO,MEGAN"
"29",4,11,13,390,8,13,3,10,7,7,16,"grove city, grove city","0, 7","3, 4","13 21 10 23 4",73.8461538461539,100,72.7272727272727,27.2727272727273,0.3,49.6941896024465,43.75,"CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH MATSKO,MEGAN NAMBISAN,ISHA"
"30",4,14,15,459,4,18,5,16,3,15,23,"brandeis, chicago2, wooster, wooster","15, -5, 6, 27","3, 1, 2, 3","20 10 21 5 34",75.8169934640523,120,28.5714285714286,91.4285714285714,0.3125,51.9630484988453,65.2173913043478,"CHINTALA,ANISHA DELMORE,KAYLA HEYER,ALLIE LAFOND,LIV PROUTY,ANNA"
"31",4,25,28,933,25,35,10,27,5,16,25,"brandeis, carnegie mellon, case western reserve, geneva, nyu, nyu, pitt.-greensburg, washington & jefferson","11, -9, 5, 12, -13, -16, 7, -9","3, 2, 1, 1, 1, 2, 2, 4","4 10 22 5 34",68.1672025723473,125,100,25,0.37037037037037,59.9315068493151,64,"CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV OR,CATHERINE"
"32",4,21,22,734,25,15,6,18,6,9,30,"brandeis, brandeis, denison, nyu, nyu2, washington & jefferson, washington & jefferson, washu","11, 14, 1, -12, -2, 5, -6, -8","3, 4, 1, 2, 1, 2, 3, 2","4 10 22 3 34",70.299727520436,68.1818181818182,119.047619047619,-50.8658008658009,0.333333333333333,36.3372093023256,30,"CHINTALA,ANISHA GIBBS,SAVANNAH LAFOND,LIV LIGOTTI,PIPER OR,CATHERINE"
"33",4,19,22,773,16,19,5,21,4,16,23,"allegheny, pitt.-greensburg, pitt.-greensburg, washington & jefferson","18, 0, 17, -8","3, 1, 3, 4","13 34 22 4 10",63.6481241914618,86.3636363636364,84.2105263157895,2.15311004784689,0.238095238095238,41.7398945518453,69.5652173913043,"CHINTALA,ANISHA GIBBS,SAVANNAH LAFOND,LIV MATSKO,MEGAN OR,CATHERINE"
"34",4,14,13,442,12,11,3,11,6,6,16,"brandeis, capital, capital, pitt.-greensburg2, washu2","16, 2, 3, 27, 13","2, 4, 4, 3, 3","5 4 21 3 34",73.3031674208145,84.6153846153846,85.7142857142857,-1.0989010989011,0.272727272727273,40.3225806451613,37.5,"DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV LIGOTTI,PIPER"
"35",4,27,27,883,23,28,11,28,3,11,28,"carnegie mellon, carnegie mellon, carnegie mellon, carnegie mellon2, carnegie mellon2","0, -10, -6, 0, 5","1, 2, 3, 1, 3","4 5 21 22 34",73.3861834654587,103.703703703704,85.1851851851852,18.5185185185185,0.392857142857143,47.7489768076398,39.2857142857143,"DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV OR,CATHERINE"
"36",4,19,16,690,23,16,5,17,1,8,18,"case western reserve2, denison, emory, emory2, emory2, nyu2","-20, -9, -10, -5, -10, -19","3, 4, 4, 3, 4, 3","4 21 5 3 22",60.8695652173913,100,121.052631578947,-21.0526315789474,0.294117647058824,45.8715596330275,44.4444444444444,"DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LIGOTTI,PIPER OR,CATHERINE"
"37",4,33,33,995,36,39,15,28,4,14,39,"case western reserve2, emory2, nyu2, rochester, rochester2, washu, washu","-8, 1, -9, -7, 4, -10, -6","2, 1, 1, 2, 1, 2, 3","4 22 21 5 13",79.5979899497488,118.181818181818,109.090909090909,9.09090909090911,0.535714285714286,65.5241935483871,35.8974358974359,"DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE MATSKO,MEGAN OR,CATHERINE"
"38",5,14,15,474,16,23,6,15,2,7,11,"brandeis2, brandeis2, brandeis2, brandeis2, brandeis2, brandeis2, washu","5, 5, 6, 9, 11, -6, -5","3, 3, 3, 3, 4, 4, 3","34 21 5 22 13",73.4177215189873,153.333333333333,114.285714285714,39.0476190476191,0.4,72.4181360201511,63.6363636363636,"DELMORE,KAYLA HEYER,ALLIE LAFOND,LIV MATSKO,MEGAN OR,CATHERINE"
